A aawwwwwwwwdwwdwwdwwdwwwwwwwwssssddwwwww
B wwwawwawwawwddwwawwawwawwwaawwwwwwwwww
C wwwawawwfssaaawdwwwdwdwwssaadsdagwdwwwwwwwwdwdwwwdwdwwddfwwwww
D wwwawwawwwwwwwawwawwwaawwwwwwwwww
E wwwwssssaawwwwddwwwwssssaawwwwwddwwwwssss
F aawwwwddwwwwssssaawwwwwddwwwwssss
G fwgwwwwawwawwawawwfddddwwdwdwwdwwdwwwwgdwdwwwwwwwdwwdwwwwddw
H aawwwwwwwwwsssssddwwwwwaawwwwwsssssssss
I wwwwssaawwwwwwwwwddwwssss
J wwawwawwwwwwwwddddwwwwwwwwdwwdwwdwdww
K aawwwwwwwwwwsssssdwwwwwwssssssddwwwwwwwfdddwwwwww
L wwwwwsssssaawwwwwwwwww
M aawwwwwwwwwwdddwwwwwaawwwwwdddwwwwwwwwwwddfwwwww
N aawwwwwwwwwwdddwdwawdwawdwawdwawdwawdwawaaawwwwwwwwwww
O fwwgwwwwwawwwawwwwwawwwawwwwwawwwawwwwwawww
